"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","5","Amherst County","500","Madison Heights Elementary","N","54","76","54","60","82","71","73"," "," "," "," "," "," "," ","470"," ","470"
"2010-2011","5","Amherst County","500","Madison Heights Elementary","Y"," ","<","<"," ","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","5","Amherst County","20","Monelison Middle","N"," "," "," "," "," "," "," ","224","209","195"," "," "," "," ","628"," ","628"
"2010-2011","5","Amherst County","20","Monelison Middle","Y"," "," "," "," "," "," "," ","<"," "," "," "," "," "," ","<"," ","<"
"2010-2011","5","Amherst County","240","Pleasant View Elementary","N","11","18","11","13","17","15","11"," "," "," "," "," "," "," ","96"," ","96"
"2010-2011","5","Amherst County","740","Temperance Elementary","N"," ","11","18","14","14","18","15"," "," "," "," "," "," "," ","90"," ","90"
"2010-2011","5","Amherst County","740","Temperance Elementary","Y"," ","<"," "," ","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","6","Appomattox County","260","Appomattox County High","N"," "," "," "," "," "," "," "," "," "," ","191","177","161","155","684"," ","684"
"2010-2011","6","Appomattox County","110","Appomattox Elementary","N"," "," "," "," ","163","172","198"," "," "," "," "," "," "," ","533"," ","533"
"2010-2011","6","Appomattox County","110","Appomattox Elementary","Y"," "," "," "," "," "," ","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","6","Appomattox County","160","Appomattox Middle","N"," "," "," "," "," "," "," ","190","171","185"," "," "," "," ","546"," ","546"
"2010-2011","6","Appomattox County","250","Appomattox Primary","N","41","164","169","162"," "," "," "," "," "," "," "," "," "," ","536"," ","536"
"2010-2011","7","Arlington County","350","Abingdon Elementary","N","12","52","42","31","39","43","26"," "," "," "," "," "," "," ","245"," ","245"
"2010-2011","7","Arlington County","350","Abingdon Elementary","Y","28","42","35","43","36","49","25"," "," "," "," "," "," "," ","258"," ","258"
"2010-2011","7","Arlington County","613","Arlington Science Focus","N","<","70","69","60","54","77","50"," "," "," "," "," "," "," ","384"," ","384"
"2010-2011","7","Arlington County","613","Arlington Science Focus","Y","14","34","30","19","24","26","16"," "," "," "," "," "," "," ","163"," ","163"
"2010-2011","7","Arlington County","470","Arlington Traditional","N","<","56","58","62","55","63","62"," "," "," "," "," "," "," ","365"," ","365"
"2010-2011","7","Arlington County","470","Arlington Traditional","Y","<","16","14","<","17","<","10"," "," "," "," "," "," "," ","83"," ","83"
"2010-2011","7","Arlington County","490","Ashlawn Elementary","N","26","59","65","45","45","48","34"," "," "," "," "," "," "," ","322"," ","322"
"2010-2011","7","Arlington County","490","Ashlawn Elementary","Y","<","24","25","10","10","16","13"," "," "," "," "," "," "," ","104"," ","104"
"2010-2011","7","Arlington County","150","Barcroft Elementary","N","11","36","30","27","23","14","28"," "," "," "," "," "," "," ","169"," ","169"
"2010-2011","7","Arlington County","150","Barcroft Elementary","Y","45","40","38","30","33","23","36"," "," "," "," "," "," "," ","245"," ","245"
"2010-2011","7","Arlington County","250","Barrett Elementary","N","17","42","56","39","55","38","30"," "," "," "," "," "," "," ","277"," ","277"
"2010-2011","7","Arlington County","250","Barrett Elementary","Y","42","35","42","31","34","52","36"," "," "," "," "," "," "," ","272"," ","272"
"2010-2011","7","Arlington County","615","Campbell Elementary","N","25","46","24","34","27","15","22"," "," "," "," "," "," "," ","193"," ","193"
"2010-2011","7","Arlington County","615","Campbell Elementary","Y","44","29","32","32","29","20","23"," "," "," "," "," "," "," ","209"," ","209"
"2010-2011","7","Arlington County","90","Carlin Springs Elementary","N","14","25","16","22","15","11","15"," "," "," "," "," "," "," ","118"," ","118"
"2010-2011","7","Arlington County","90","Carlin Springs Elementary","Y","66","68","77","75","71","72","59"," "," "," "," "," "," "," ","488"," ","488"
"2010-2011","7","Arlington County","622","Claremont Immersion","N","25","69","53","55","40","32","44"," "," "," "," "," "," "," ","318"," ","318"
"2010-2011","7","Arlington County","622","Claremont Immersion","Y","43","36","37","26","26","17","25"," "," "," "," "," "," "," ","210"," ","210"
"2010-2011","7","Arlington County","200","Drew Model Elementary","N","60","46","51","59","43","44","38"," "," "," "," "," "," "," ","341"," ","341"
"2010-2011","7","Arlington County","200","Drew Model Elementary","Y","49","33","34","26","29","20","19"," "," "," "," "," "," "," ","210"," ","210"
"2010-2011","7","Arlington County","111","Francis Scott Key Elementary","N","16","69","66","56","61","44","64"," "," "," "," "," "," "," ","376"," ","376"
"2010-2011","7","Arlington County","111","Francis Scott Key Elementary","Y","40","37","43","35","38","48","39"," "," "," "," "," "," "," ","280"," ","280"
"2010-2011","7","Arlington County","100","Glebe Elementary","N","25","91","75","58","49","53","42"," "," "," "," "," "," "," ","393"," ","393"
"2010-2011","7","Arlington County","100","Glebe Elementary","Y","13","13","14","11","<","12","10"," "," "," "," "," "," "," ","82"," ","82"
"2010-2011","7","Arlington County","611","Gunston Middle","N"," "," "," "," "," "," "," ","167","139","178"," "," "," "," ","484"," ","484"
"2010-2011","7","Arlington County","611","Gunston Middle","Y"," "," "," "," "," "," "," ","96","92","83"," "," "," "," ","271"," ","271"
"2010-2011","7","Arlington County","160","Henry Elementary","N","20","45","41","42","30","30","24"," "," "," "," "," "," "," ","232"," ","232"
"2010-2011","7","Arlington County","160","Henry Elementary","Y","22","25","27","22","22","24","21"," "," "," "," "," "," "," ","163"," ","163"
"2010-2011","7","Arlington County","614","Hoffman-Boston Elementary","N","42","18","14","14","16","11","13"," "," "," "," "," "," "," ","128"," ","128"
"2010-2011","7","Arlington County","614","Hoffman-Boston Elementary","Y","80","27","47","32","26","29","20"," "," "," "," "," "," "," ","261"," ","261"
"2010-2011","7","Arlington County","440","Jamestown Elementary","N","25","83","100","94","96","70","91"," "," "," "," "," "," "," ","559"," ","559"
"2010-2011","7","Arlington County","440","Jamestown Elementary","Y","<","<","<","<","<","<","<"," "," "," "," "," "," "," ","22"," ","22"
"2010-2011","7","Arlington County","180","Jefferson Middle","N"," "," "," "," "," "," "," ","137","119","117"," "," "," "," ","373"," ","373"
"2010-2011","7","Arlington County","180","Jefferson Middle","Y"," "," "," "," "," "," "," ","98","87","82"," "," "," "," ","267"," ","267"
"2010-2011","7","Arlington County","500","Kenmore Middle","N"," "," "," "," "," "," "," ","139","138","125"," "," "," "," ","402"," ","402"
"2010-2011","7","Arlington County","500","Kenmore Middle","Y"," "," "," "," "," "," "," ","126","111","106"," "," "," "," ","343"," ","343"
"2010-2011","7","Arlington County","460","Long Branch Elementary","N","33","63","52","65","59","69","55"," "," "," "," "," "," "," ","396"," ","396"
"2010-2011","7","Arlington County","460","Long Branch Elementary","Y","20","25","17","23","14","25","26"," "," "," "," "," "," "," ","150"," ","150"
"2010-2011","7","Arlington County","380","McKinley Elementary","N","<","102","76","65","63","74","56"," "," "," "," "," "," "," ","439"," ","439"
"2010-2011","7","Arlington County","380","McKinley Elementary","Y","<","<","<","12","<","<","10"," "," "," "," "," "," "," ","52"," ","52"
"2010-2011","7","Arlington County","410","Nottingham Elementary","N","<","99","99","114","86","96","74"," "," "," "," "," "," "," ","576"," ","576"
"2010-2011","7","Arlington County","410","Nottingham Elementary","Y"," ","<","<","<"," ","<","<"," "," "," "," "," "," "," ","10"," ","10"
"2010-2011","7","Arlington County","360","Oakridge Elementary","N","<","74","67","67","60","44","48"," "," "," "," "," "," "," ","366"," ","366"
"2010-2011","7","Arlington County","360","Oakridge Elementary","Y","17","49","36","25","30","53","42"," "," "," "," "," "," "," ","252"," ","252"
