"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","1","Accomack County","701","Accawmacke Elementary","33","103","87","88","81","90","76"," "," "," "," "," "," "," ","558"," ","558"
"2010-2011","1","Accomack County","540","Arcadia High"," "," "," "," "," "," "," "," "," "," ","179","155","150","126","610"," ","610"
"2010-2011","1","Accomack County","704","Arcadia Middle"," "," "," "," "," "," "," ","147","160","160"," "," "," "," ","467"," ","467"
"2010-2011","1","Accomack County","80","Chincoteague Elementary","18","37","32","32","52","45","52"," "," "," "," "," "," "," ","268"," ","268"
"2010-2011","1","Accomack County","580","Chincoteague High"," "," "," "," "," "," "," ","41","41","36","38","43","34","46","279"," ","279"
"2010-2011","1","Accomack County","600","Kegotank Elementary","54","106","99","96","111","68","70"," "," "," "," "," "," "," ","604"," ","604"
"2010-2011","1","Accomack County","702","Metompkin Elementary","36","104","97","83","94","94","109"," "," "," "," "," "," "," ","617"," ","617"
"2010-2011","1","Accomack County","70","Nandua High"," "," "," "," "," "," "," "," "," "," ","185","137","119","162","603"," ","603"
"2010-2011","1","Accomack County","703","Nandua Middle"," "," "," "," "," "," "," ","161","159","152"," "," "," "," ","472"," ","472"
"2010-2011","1","Accomack County","590","Pungoteague Elementary","29","85","82","95","71","86","88"," "," "," "," "," "," "," ","536"," ","536"
"2010-2011","1","Accomack County","530","Tangier Combined"," ","5","8","6","2","3","6","8","8","7","8","5","3","5","74"," ","74"
"2010-2011","2","Albemarle County","160","Agnor-Hurt Elementary","23","83","82","85","83","84","91"," "," "," "," "," "," "," ","531"," ","531"
"2010-2011","2","Albemarle County","1060","Albemarle County Community Public Charter"," "," "," "," "," "," "," ","12","7","17"," "," "," "," ","36"," ","36"
"2010-2011","2","Albemarle County","880","Albemarle High"," "," "," "," "," "," "," "," "," "," ","450","442","402","455","1,749","1","1,750"
"2010-2011","2","Albemarle County","1053","Baker-Butler Elementary","28","52","76","66","87","78","84"," "," "," "," "," "," "," ","471"," ","471"
"2010-2011","2","Albemarle County","900","Benjamin F. Yancey Elementary","20","16","27","24","22","24","25"," "," "," "," "," "," "," ","158"," ","158"
"2010-2011","2","Albemarle County","100","Broadus Wood Elementary"," ","52","48","52","50","46","73"," "," "," "," "," "," "," ","321"," ","321"
"2010-2011","2","Albemarle County","941","Brownsville Elementary","20","105","106","96","95","103","77"," "," "," "," "," "," "," ","602"," ","602"
"2010-2011","2","Albemarle County","340","Crozet Elementary"," ","47","54","55","50","52","57"," "," "," "," "," "," "," ","315"," ","315"
"2010-2011","2","Albemarle County","10","Hollymead Elementary","1","90","106","94","88","88","88"," "," "," "," "," "," "," ","555"," ","555"
"2010-2011","2","Albemarle County","950","Jack Jouett Middle"," "," "," "," "," "," "," ","189","178","213"," "," "," "," ","580"," ","580"
"2010-2011","2","Albemarle County","69","Jackson P. Burley Middle"," "," "," "," "," "," "," ","166","174","158"," "," "," "," ","498","2","500"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle"," "," "," "," "," "," "," ","249","281","261"," "," "," "," ","791","1","792"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle"," "," "," "," "," "," "," ","149","134","119"," "," "," "," ","402","2","404"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","32","80","77","70","72","68","80"," "," "," "," "," "," "," ","479"," ","479"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary"," ","78","64","63","71","72","84"," "," "," "," "," "," "," ","432"," ","432"
"2010-2011","2","Albemarle County","1052","Monticello High"," "," "," "," "," "," "," "," "," "," ","288","272","318","292","1,170","1","1,171"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle"," "," "," "," "," "," "," ","206","196","203"," "," "," "," ","605","1","606"
"2010-2011","2","Albemarle County","890","Murray High"," "," "," "," "," "," "," "," "," "," ","19","29","37","20","105"," ","105"
"2010-2011","2","Albemarle County","150","Paul H. Cale Elementary","22","104","104","90","84","97","73"," "," "," "," "," "," "," ","574"," ","574"
"2010-2011","2","Albemarle County","540","Red Hill Elementary","16","25","29","17","32","33","23"," "," "," "," "," "," "," ","175"," ","175"
"2010-2011","2","Albemarle County","30","Scottsville Elementary","17","41","25","23","45","32","25"," "," "," "," "," "," "," ","208"," ","208"
"2010-2011","2","Albemarle County","920","Stone Robinson Elementary","23","75","65","74","85","76","84"," "," "," "," "," "," "," ","482"," ","482"
"2010-2011","2","Albemarle County","240","Stony Point Elementary","16","58","45","53","41","53","57"," "," "," "," "," "," "," ","323"," ","323"
"2010-2011","2","Albemarle County","910","Virginia L. Murray Elementary","5","38","41","44","52","40","52"," "," "," "," "," "," "," ","272"," ","272"
"2010-2011","2","Albemarle County","140","Western Albemarle High"," "," "," "," "," "," "," "," "," "," ","269","297","256","238","1,060","1","1,061"
"2010-2011","2","Albemarle County","930","Woodbrook Elementary","25","50","55","50","47","44","47"," "," "," "," "," "," "," ","318"," ","318"
"2010-2011","101","Alexandria City","120","Charles Barrett Elementary"," ","67","60","58","45","46","43"," "," "," "," "," "," "," ","319"," ","319"
"2010-2011","101","Alexandria City","160","Cora Kelly Magnet Elementary"," ","78","48","77","66","50","52"," "," "," "," "," "," "," ","371"," ","371"
"2010-2011","101","Alexandria City","110","Douglas Macarthur Elementary"," ","118","110","113","101","95","85"," "," "," "," "," "," "," ","622"," ","622"
"2010-2011","101","Alexandria City","170","Francis C. Hammond Middle"," "," "," "," "," "," "," ","156","131","135"," "," "," "," ","422"," ","422"
"2010-2011","101","Alexandria City","250","Francis Hammond 2 Middle"," "," "," "," "," "," "," ","139","143","147"," "," "," "," ","429"," ","429"
"2010-2011","101","Alexandria City","260","Francis Hammond 3 Middle"," "," "," "," "," "," "," ","142","125","145"," "," "," "," ","412"," ","412"
"2010-2011","101","Alexandria City","100","George Mason Elementary"," ","82","77","83","70","70","56"," "," "," "," "," "," "," ","438"," ","438"
"2010-2011","101","Alexandria City","240","George Washington 2 Middle"," "," "," "," "," "," "," ","151","168","156"," "," "," "," ","475"," ","475"
"2010-2011","101","Alexandria City","10","George Washington Middle"," "," "," "," "," "," "," ","160","169","155"," "," "," "," ","484"," ","484"
"2010-2011","101","Alexandria City","220","James K. Polk Elementary"," ","114","110","107","86","91","81"," "," "," "," "," "," "," ","589"," ","589"
"2010-2011","101","Alexandria City","90","Jefferson-Houston Elementary","54","46","45","28","38","37","33","34","20"," "," "," "," "," ","335"," ","335"
"2010-2011","101","Alexandria City","230","John Adams Elementary","107","140","117","143","107","105","89"," "," "," "," "," "," "," ","808"," ","808"
"2010-2011","101","Alexandria City","80","Lyles-Crouch Elementary"," ","64","71","69","61","51","42"," "," "," "," "," "," "," ","358"," ","358"
"2010-2011","101","Alexandria City","60","Maury Elementary"," ","69","78","52","60","55","36"," "," "," "," "," "," "," ","350"," ","350"
"2010-2011","101","Alexandria City","30","Mount Vernon Elementary","19","150","144","99","115","96","79"," "," "," "," "," "," "," ","702"," ","702"
"2010-2011","101","Alexandria City","50","Patrick Henry Elementary"," ","100","71","63","74","67","64"," "," "," "," "," "," "," ","439"," ","439"
"2010-2011","101","Alexandria City","333","Samuel W. Tucker Elementary"," ","136","128","119","110","104","85"," "," "," "," "," "," "," ","682"," ","682"
"2010-2011","101","Alexandria City","210","T.C. Williams High"," "," "," "," "," "," "," "," "," "," ","768","782","786","726","3,062"," ","3,062"
"2010-2011","101","Alexandria City","190","William Ramsay Elementary"," ","141","121","109","116","117","98"," "," "," "," "," "," "," ","702"," ","702"
"2010-2011","3","Alleghany County","310","Alleghany High"," "," "," "," "," "," "," "," "," "," ","231","241","179","209","860"," ","860"
"2010-2011","3","Alleghany County","280","Boiling Spring Elementary","1","26","16","13","17","30","22"," "," "," "," "," "," "," ","125"," ","125"
"2010-2011","3","Alleghany County","110","Callaghan Elementary","14","44","25","34","31","34","28"," "," "," "," "," "," "," ","210"," ","210"
"2010-2011","3","Alleghany County","1040","Clifton Middle"," "," "," "," "," "," "," ","208","236","234"," "," "," "," ","678"," ","678"
"2010-2011","3","Alleghany County","20","Falling Spring Elementary"," ","27","27","23","28","21","29"," "," "," "," "," "," "," ","155"," ","155"
"2010-2011","3","Alleghany County","1041","Mountain View Elementary","17","134","75","79","72","96","109"," "," "," "," "," "," "," ","582"," ","582"
"2010-2011","3","Alleghany County","90","Sharon Elementary","19","39","23","32","21","29","31"," "," "," "," "," "," "," ","194"," ","194"
"2010-2011","4","Amelia County","220","Amelia County Elementary","37","115","120","115","149","158"," "," "," "," "," "," "," "," ","694"," ","694"
"2010-2011","4","Amelia County","10","Amelia County High"," "," "," "," "," "," "," "," "," "," ","160","144","128","114","546"," ","546"
"2010-2011","4","Amelia County","210","Amelia County Middle"," "," "," "," "," "," ","130","139","160","146"," "," "," "," ","575"," ","575"
"2010-2011","5","Amherst County","780","Amelon Elementary","29","71","72","83","66","63","79"," "," "," "," "," "," "," ","463"," ","463"
"2010-2011","5","Amherst County","750","Amherst County High"," "," "," "," "," "," "," "," "," "," ","393","392","353","365","1,503"," ","1,503"
"2010-2011","5","Amherst County","790","Amherst Elementary","3","53","50","44","57","61","59"," "," "," "," "," "," "," ","327"," ","327"
"2010-2011","5","Amherst County","670","Amherst Middle"," "," "," "," "," "," "," ","144","149","145"," "," "," "," ","438"," ","438"
"2010-2011","5","Amherst County","770","Central Elementary","60","32","34","35","38","47","54"," "," "," "," "," "," "," ","300"," ","300"
"2010-2011","5","Amherst County","760","Elon Elementary","27","42","41","31","42","45","48"," "," "," "," "," "," "," ","276"," ","276"
"2010-2011","5","Amherst County","500","Madison Heights Elementary","54","77","55","60","84","71","73"," "," "," "," "," "," "," ","474"," ","474"
"2010-2011","5","Amherst County","20","Monelison Middle"," "," "," "," "," "," "," ","226","209","195"," "," "," "," ","630"," ","630"
"2010-2011","5","Amherst County","240","Pleasant View Elementary","11","18","11","13","17","15","11"," "," "," "," "," "," "," ","96"," ","96"
"2010-2011","5","Amherst County","740","Temperance Elementary"," ","12","18","14","15","18","15"," "," "," "," "," "," "," ","92"," ","92"
"2010-2011","6","Appomattox County","260","Appomattox County High"," "," "," "," "," "," "," "," "," "," ","191","177","161","155","684"," ","684"
"2010-2011","6","Appomattox County","110","Appomattox Elementary"," "," "," "," ","163","172","199"," "," "," "," "," "," "," ","534"," ","534"
"2010-2011","6","Appomattox County","160","Appomattox Middle"," "," "," "," "," "," "," ","190","171","185"," "," "," "," ","546"," ","546"
"2010-2011","6","Appomattox County","250","Appomattox Primary","41","164","169","162"," "," "," "," "," "," "," "," "," "," ","536"," ","536"
"2010-2011","7","Arlington County","350","Abingdon Elementary","40","94","77","74","75","92","51"," "," "," "," "," "," "," ","503"," ","503"
"2010-2011","7","Arlington County","613","Arlington Science Focus","18","104","99","79","78","103","66"," "," "," "," "," "," "," ","547"," ","547"
"2010-2011","7","Arlington County","470","Arlington Traditional","18","72","72","70","72","72","72"," "," "," "," "," "," "," ","448"," ","448"
"2010-2011","7","Arlington County","490","Ashlawn Elementary","32","83","90","55","55","64","47"," "," "," "," "," "," "," ","426"," ","426"
"2010-2011","7","Arlington County","150","Barcroft Elementary","56","76","68","57","56","37","64"," "," "," "," "," "," "," ","414"," ","414"
"2010-2011","7","Arlington County","250","Barrett Elementary","59","77","98","70","89","90","66"," "," "," "," "," "," "," ","549"," ","549"
"2010-2011","7","Arlington County","615","Campbell Elementary","69","75","56","66","56","35","45"," "," "," "," "," "," "," ","402"," ","402"
"2010-2011","7","Arlington County","90","Carlin Springs Elementary","80","93","93","97","86","83","74"," "," "," "," "," "," "," ","606"," ","606"
"2010-2011","7","Arlington County","622","Claremont Immersion","68","105","90","81","66","49","69"," "," "," "," "," "," "," ","528"," ","528"
"2010-2011","7","Arlington County","200","Drew Model Elementary","109","79","85","85","72","64","57"," "," "," "," "," "," "," ","551"," ","551"
