"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","16","Campbell County","560","Altavista Elementary","603"," ","603"
"2010-2011","16","Campbell County","200","Altavista High","761"," ","761"
"2010-2011","16","Campbell County","720","Brookville High","1,033"," ","1,033"
"2010-2011","16","Campbell County","20","Brookville Middle","709"," ","709"
"2010-2011","16","Campbell County","650","Campbell County Elementary","429"," ","429"
"2010-2011","16","Campbell County","130","Concord Elementary","420"," ","420"
"2010-2011","16","Campbell County","690","Leesville Road Elementary","665"," ","665"
"2010-2011","16","Campbell County","821","Rustburg Elementary","560"," ","560"
"2010-2011","16","Campbell County","222","Rustburg High","947"," ","947"
"2010-2011","16","Campbell County","211","Rustburg Middle","617"," ","617"
"2010-2011","16","Campbell County","60","Tomahawk Elementary","628"," ","628"
"2010-2011","16","Campbell County","542","William Campbell High","588"," ","588"
"2010-2011","16","Campbell County","710","Yellow Branch Elementary","568"," ","568"
"2010-2011","17","Caroline County","620","Bowling Green Elementary","352"," ","352"
"2010-2011","17","Caroline County","610","Bowling Green Primary","415"," ","415"
"2010-2011","17","Caroline County","460","Caroline High","1,182"," ","1,182"
"2010-2011","17","Caroline County","450","Caroline Middle","915"," ","915"
"2010-2011","17","Caroline County","9020","Lewis & Clark Elementary","865"," ","865"
"2010-2011","17","Caroline County","630","Madison Elementary","528"," ","528"
"2010-2011","18","Carroll County","1230","Carroll County High","874"," ","874"
"2010-2011","18","Carroll County","360","Carroll County Intermediate","688"," ","688"
"2010-2011","18","Carroll County","1180","Fancy Gap Elementary","200"," ","200"
"2010-2011","18","Carroll County","1150","Gladesboro Elementary","149"," ","149"
"2010-2011","18","Carroll County","1210","Gladeville Elementary","366"," ","366"
"2010-2011","18","Carroll County","1170","Hillsville Elementary","547"," ","547"
"2010-2011","18","Carroll County","1160","Laurel Elementary","315"," ","315"
"2010-2011","18","Carroll County","1130","Oakland Elementary","279"," ","279"
"2010-2011","18","Carroll County","1110","St. Paul","469"," ","469"
"2010-2011","18","Carroll County","450","Woodlawn Elementary","584"," ","584"
"2010-2011","19","Charles City County","80","Charles City County Elementary","389"," ","389"
"2010-2011","19","Charles City County","100","Charles City County High","269"," ","269"
"2010-2011","19","Charles City County","110","Charles City County Middle","186"," ","186"
"2010-2011","20","Charlotte County","470","Bacon District Elementary","193"," ","193"
"2010-2011","20","Charlotte County","210","Central Middle","472"," ","472"
"2010-2011","20","Charlotte County","571","Early Learning Center","81"," ","81"
"2010-2011","20","Charlotte County","100","Eureka Elementary","416"," ","416"
"2010-2011","20","Charlotte County","450","J. Murray Jeffress Elementary","134"," ","134"
"2010-2011","20","Charlotte County","110","Phenix Elementary","150"," ","150"
"2010-2011","20","Charlotte County","460","Randolph Henry High","679"," ","679"
"2010-2011","104","Charlottesville City","100","Buford Middle","467"," ","467"
"2010-2011","104","Charlottesville City","70","Burnley-Moran Elementary","350"," ","350"
"2010-2011","104","Charlottesville City","140","Charlottesville High","1,169"," ","1,169"
"2010-2011","104","Charlottesville City","50","Clark Elementary","277"," ","277"
"2010-2011","104","Charlottesville City","90","Greenbrier Elementary","319"," ","319"
"2010-2011","104","Charlottesville City","120","Jackson-Via Elementary","293"," ","293"
"2010-2011","104","Charlottesville City","10","Johnson Elementary","303"," ","303"
"2010-2011","104","Charlottesville City","40","Venable Elementary","298"," ","298"
"2010-2011","104","Charlottesville City","110","Walker Upper Elementary","554"," ","554"
"2010-2011","136","Chesapeake City","630","B.M. Williams Primary","848"," ","848"
"2010-2011","136","Chesapeake City","860","Butts Road Intermediate","706","4","710"
"2010-2011","136","Chesapeake City","770","Butts Road Primary","683"," ","683"
"2010-2011","136","Chesapeake City","90","Camelot Elementary","613"," ","613"
"2010-2011","136","Chesapeake City","900","Cedar Road Elementary","847"," ","847"
"2010-2011","136","Chesapeake City","700","Crestwood Intermediate","775"," ","775"
"2010-2011","136","Chesapeake City","560","Crestwood Middle","601"," ","601"
