"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","10","Bedford County","1160","Body Camp Elementary","N","168"," ","168"
"2010-2011","10","Bedford County","1160","Body Camp Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","160","Boonsboro Elementary","N","297"," ","297"
"2010-2011","10","Bedford County","160","Boonsboro Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","500","Forest Elementary","N","424","<","425"
"2010-2011","10","Bedford County","500","Forest Elementary","Y","32"," ","32"
"2010-2011","10","Bedford County","1211","Forest Middle","N","993"," ","993"
"2010-2011","10","Bedford County","1211","Forest Middle","Y","18"," ","18"
"2010-2011","10","Bedford County","1214","Goodview Elementary","N","498"," ","498"
"2010-2011","10","Bedford County","1214","Goodview Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","980","Huddleston Elementary","N","223"," ","223"
"2010-2011","10","Bedford County","980","Huddleston Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","1212","Jefferson Forest High","N","1,284","<","1,286"
"2010-2011","10","Bedford County","1212","Jefferson Forest High","Y","17"," ","17"
"2010-2011","10","Bedford County","1180","Liberty High","N","937"," ","937"
"2010-2011","10","Bedford County","1180","Liberty High","Y","<"," ","<"
"2010-2011","10","Bedford County","970","Moneta Elementary","N","208"," ","208"
"2010-2011","10","Bedford County","970","Moneta Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","180","Montvale Elementary","N","273"," ","273"
"2010-2011","10","Bedford County","610","New London Academy Elementary","N","350"," ","350"
"2010-2011","10","Bedford County","610","New London Academy Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","1170","Otter River Elementary","N","213"," ","213"
"2010-2011","10","Bedford County","1170","Otter River Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","1190","Staunton River High","N","1,108"," ","1,108"
"2010-2011","10","Bedford County","1190","Staunton River High","Y","<"," ","<"
"2010-2011","10","Bedford County","1191","Staunton River Middle","N","802"," ","802"
"2010-2011","10","Bedford County","1191","Staunton River Middle","Y","<"," ","<"
"2010-2011","10","Bedford County","640","Stewartsville Elementary","N","403"," ","403"
"2010-2011","10","Bedford County","640","Stewartsville Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","450","Thaxton Elementary","N","236"," ","236"
"2010-2011","10","Bedford County","1213","Thomas Jefferson Elementary","N","590"," ","590"
"2010-2011","10","Bedford County","1213","Thomas Jefferson Elementary","Y","27"," ","27"
"2010-2011","11","Bland County","232","Bland Elementary","N","266"," ","266"
"2010-2011","11","Bland County","231","Bland High","N","188"," ","188"
"2010-2011","11","Bland County","62","Rocky Gap Elementary","N","244"," ","244"
"2010-2011","11","Bland County","61","Rocky Gap High","N","199"," ","199"
"2010-2011","12","Botetourt County","220","Breckinridge Elementary","N","247","<","248"
"2010-2011","12","Botetourt County","220","Breckinridge Elementary","Y","<"," ","<"
"2010-2011","12","Botetourt County","20","Buchanan Elementary","N","320"," ","320"
"2010-2011","12","Botetourt County","420","Central Academy Middle","N","463"," ","463"
"2010-2011","12","Botetourt County","420","Central Academy Middle","Y","<"," ","<"
"2010-2011","12","Botetourt County","390","Cloverdale Elementary","N","317"," ","317"
"2010-2011","12","Botetourt County","390","Cloverdale Elementary","Y","<"," ","<"
"2010-2011","12","Botetourt County","400","Colonial Elementary","N","466"," ","466"
"2010-2011","12","Botetourt County","30","Eagle Rock Elementary","N","157"," ","157"
"2010-2011","12","Botetourt County","30","Eagle Rock Elementary","Y","<"," ","<"
"2010-2011","12","Botetourt County","460","Greenfield Elementary","N","412"," ","412"
"2010-2011","12","Botetourt County","460","Greenfield Elementary","Y","<"," ","<"
"2010-2011","12","Botetourt County","430","James River High","N","484"," ","484"
"2010-2011","12","Botetourt County","440","Lord Botetourt High","N","1,095"," ","1,095"
"2010-2011","12","Botetourt County","440","Lord Botetourt High","Y","<"," ","<"
"2010-2011","12","Botetourt County","450","Read Mountain Middle","N","715"," ","715"
"2010-2011","12","Botetourt County","40","Troutville Elementary","N","317"," ","317"
"2010-2011","102","Bristol City","60","Highland View Elementary","N","213"," ","213"
"2010-2011","102","Bristol City","60","Highland View Elementary","Y","<"," ","<"
"2010-2011","102","Bristol City","100","Joseph Van Pelt Elementary","N","408"," ","408"
"2010-2011","102","Bristol City","100","Joseph Van Pelt Elementary","Y","<"," ","<"
"2010-2011","102","Bristol City","70","Stonewall Jackson Elementary","N","285"," ","285"
"2010-2011","102","Bristol City","70","Stonewall Jackson Elementary","Y","<"," ","<"
"2010-2011","102","Bristol City","80","Virginia High","N","663"," ","663"
"2010-2011","102","Bristol City","80","Virginia High","Y","<"," ","<"
"2010-2011","102","Bristol City","10","Virginia Middle","N","545"," ","545"
"2010-2011","102","Bristol City","10","Virginia Middle","Y","<"," ","<"
"2010-2011","102","Bristol City","90","Washington-Lee Elementary","N","263"," ","263"
"2010-2011","102","Bristol City","90","Washington-Lee Elementary","Y","<"," ","<"
"2010-2011","13","Brunswick County","650","Brunswick High","N","632"," ","632"
"2010-2011","13","Brunswick County","650","Brunswick High","Y","<"," ","<"
"2010-2011","13","Brunswick County","660","James S. Russell Middle","N","472"," ","472"
"2010-2011","13","Brunswick County","660","James S. Russell Middle","Y","<"," ","<"
"2010-2011","13","Brunswick County","690","Meherrin Powellton Elementary","N","279"," ","279"
"2010-2011","13","Brunswick County","690","Meherrin Powellton Elementary","Y","<"," ","<"
"2010-2011","13","Brunswick County","700","Red Oak-Sturgeon Elementary","N","218"," ","218"
"2010-2011","13","Brunswick County","720","Totaro Elementary","N","481"," ","481"
"2010-2011","14","Buchanan County","90","Council Elementary/Middle","N","206"," ","206"
"2010-2011","14","Buchanan County","1000","Council High","N","140"," ","140"
"2010-2011","14","Buchanan County","990","Grundy High","N","491"," ","491"
"2010-2011","14","Buchanan County","120","Hurley Elementary/Middle","N","406"," ","406"
"2010-2011","14","Buchanan County","1020","Hurley High","N","242"," ","242"
"2010-2011","14","Buchanan County","20","J.M. Bevins Elementary","N","130"," ","130"
"2010-2011","14","Buchanan County","1040","Riverview Elementary/Middle","N","871"," ","871"
"2010-2011","14","Buchanan County","1040","Riverview Elementary/Middle","Y","<"," ","<"
"2010-2011","14","Buchanan County","10","Russell Prater Elementary","N","123"," ","123"
"2010-2011","14","Buchanan County","1041","Twin Valley Elementary/Middle","N","428"," ","428"
"2010-2011","14","Buchanan County","1042","Twin Valley High","N","295"," ","295"
"2010-2011","15","Buckingham County","700","Buckingham County High","N","641"," ","641"
"2010-2011","15","Buckingham County","721","Buckingham County Middle","N","445"," ","445"
"2010-2011","15","Buckingham County","10","Buckingham Primary","N","192"," ","192"
"2010-2011","15","Buckingham County","722","Dillwyn Elementary","N","202"," ","202"
"2010-2011","15","Buckingham County","510","Dillwyn Primary","N","343"," ","343"
"2010-2011","15","Buckingham County","730","Gold Hill Elementary","N","212"," ","212"
"2010-2011","103","Buena Vista City","40","Enderly Heights Elementary","N","255"," ","255"
"2010-2011","103","Buena Vista City","70","F.W. Kling Jr. Elementary","N","180"," ","180"
"2010-2011","103","Buena Vista City","62","Parry McCluer High","N","335"," ","335"
"2010-2011","103","Buena Vista City","61","Parry McCluer Middle","N","365"," ","365"
"2010-2011","16","Campbell County","560","Altavista Elementary","N","600"," ","600"
"2010-2011","16","Campbell County","560","Altavista Elementary","Y","<"," ","<"
