"School Year","Division Number","Division Name","School Number","School Name","Disabled","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","8","Augusta County","842","Edward G. Clymore Elementary","Y","57"," ","57"
"2010-2011","8","Augusta County","670","Fort Defiance High","N","777"," ","777"
"2010-2011","8","Augusta County","670","Fort Defiance High","Y","94"," ","94"
"2010-2011","8","Augusta County","843","Guy K. Stump Elementary","N","317"," ","317"
"2010-2011","8","Augusta County","843","Guy K. Stump Elementary","Y","25"," ","25"
"2010-2011","8","Augusta County","700","Ladd Elementary","N","319"," ","319"
"2010-2011","8","Augusta County","700","Ladd Elementary","Y","34"," ","34"
"2010-2011","8","Augusta County","40","North River Elementary","N","267"," ","267"
"2010-2011","8","Augusta County","40","North River Elementary","Y","32"," ","32"
"2010-2011","8","Augusta County","740","Riverheads Elementary","N","472"," ","472"
"2010-2011","8","Augusta County","740","Riverheads Elementary","Y","37"," ","37"
"2010-2011","8","Augusta County","680","Riverheads High","N","461","<","462"
"2010-2011","8","Augusta County","680","Riverheads High","Y","60"," ","60"
"2010-2011","8","Augusta County","90","S. Gordon Stewart Middle","N","542"," ","542"
"2010-2011","8","Augusta County","90","S. Gordon Stewart Middle","Y","62"," ","62"
"2010-2011","8","Augusta County","440","Stuarts Draft Elementary","N","535"," ","535"
"2010-2011","8","Augusta County","440","Stuarts Draft Elementary","Y","57"," ","57"
"2010-2011","8","Augusta County","730","Stuarts Draft High","N","685"," ","685"
"2010-2011","8","Augusta County","730","Stuarts Draft High","Y","70"," ","70"
"2010-2011","8","Augusta County","60","Stuarts Draft Middle","N","478"," ","478"
"2010-2011","8","Augusta County","60","Stuarts Draft Middle","Y","50"," ","50"
"2010-2011","8","Augusta County","710","Verona Elementary","N","330"," ","330"
"2010-2011","8","Augusta County","710","Verona Elementary","Y","38"," ","38"
"2010-2011","8","Augusta County","640","Wilson Elementary","N","357"," ","357"
"2010-2011","8","Augusta County","640","Wilson Elementary","Y","41"," ","41"
"2010-2011","8","Augusta County","720","Wilson Memorial High","N","656"," ","656"
"2010-2011","8","Augusta County","720","Wilson Memorial High","Y","66"," ","66"
"2010-2011","8","Augusta County","844","Wilson Middle","N","522"," ","522"
"2010-2011","8","Augusta County","844","Wilson Middle","Y","44"," ","44"
"2010-2011","9","Bath County","140","Bath County High","N","249"," ","249"
"2010-2011","9","Bath County","140","Bath County High","Y","39"," ","39"
"2010-2011","9","Bath County","120","Millboro Elementary","N","107"," ","107"
"2010-2011","9","Bath County","120","Millboro Elementary","Y","22"," ","22"
"2010-2011","9","Bath County","150","Valley Elementary","N","214"," ","214"
"2010-2011","9","Bath County","150","Valley Elementary","Y","27"," ","27"
"2010-2011","10","Bedford County","480","Bedford Elementary","N","362"," ","362"
"2010-2011","10","Bedford County","480","Bedford Elementary","Y","47"," ","47"
"2010-2011","10","Bedford County","490","Bedford Middle","N","420"," ","420"
"2010-2011","10","Bedford County","490","Bedford Middle","Y","55"," ","55"
"2010-2011","10","Bedford County","1200","Bedford Primary","N","318"," ","318"
"2010-2011","10","Bedford County","1200","Bedford Primary","Y","43"," ","43"
"2010-2011","10","Bedford County","30","Big Island Elementary","N","191"," ","191"
"2010-2011","10","Bedford County","30","Big Island Elementary","Y","19"," ","19"
"2010-2011","10","Bedford County","1160","Body Camp Elementary","N","148"," ","148"
"2010-2011","10","Bedford County","1160","Body Camp Elementary","Y","21"," ","21"
"2010-2011","10","Bedford County","160","Boonsboro Elementary","N","283"," ","283"
"2010-2011","10","Bedford County","160","Boonsboro Elementary","Y","19"," ","19"
"2010-2011","10","Bedford County","500","Forest Elementary","N","422","<","423"
"2010-2011","10","Bedford County","500","Forest Elementary","Y","34"," ","34"
"2010-2011","10","Bedford County","1211","Forest Middle","N","952"," ","952"
"2010-2011","10","Bedford County","1211","Forest Middle","Y","59"," ","59"
"2010-2011","10","Bedford County","1214","Goodview Elementary","N","449"," ","449"
"2010-2011","10","Bedford County","1214","Goodview Elementary","Y","58"," ","58"
"2010-2011","10","Bedford County","980","Huddleston Elementary","N","202"," ","202"
"2010-2011","10","Bedford County","980","Huddleston Elementary","Y","23"," ","23"
"2010-2011","10","Bedford County","1212","Jefferson Forest High","N","1,234","<","1,235"
"2010-2011","10","Bedford County","1212","Jefferson Forest High","Y","67","<","68"
"2010-2011","10","Bedford County","1180","Liberty High","N","823"," ","823"
"2010-2011","10","Bedford County","1180","Liberty High","Y","117"," ","117"
"2010-2011","10","Bedford County","970","Moneta Elementary","N","183"," ","183"
"2010-2011","10","Bedford County","970","Moneta Elementary","Y","26"," ","26"
"2010-2011","10","Bedford County","180","Montvale Elementary","N","233"," ","233"
"2010-2011","10","Bedford County","180","Montvale Elementary","Y","40"," ","40"
"2010-2011","10","Bedford County","610","New London Academy Elementary","N","319"," ","319"
"2010-2011","10","Bedford County","610","New London Academy Elementary","Y","33"," ","33"
"2010-2011","10","Bedford County","1170","Otter River Elementary","N","188"," ","188"
"2010-2011","10","Bedford County","1170","Otter River Elementary","Y","26"," ","26"
"2010-2011","10","Bedford County","1190","Staunton River High","N","986"," ","986"
"2010-2011","10","Bedford County","1190","Staunton River High","Y","124"," ","124"
"2010-2011","10","Bedford County","1191","Staunton River Middle","N","734"," ","734"
"2010-2011","10","Bedford County","1191","Staunton River Middle","Y","75"," ","75"
"2010-2011","10","Bedford County","640","Stewartsville Elementary","N","372"," ","372"
"2010-2011","10","Bedford County","640","Stewartsville Elementary","Y","34"," ","34"
"2010-2011","10","Bedford County","450","Thaxton Elementary","N","216"," ","216"
"2010-2011","10","Bedford County","450","Thaxton Elementary","Y","20"," ","20"
"2010-2011","10","Bedford County","1213","Thomas Jefferson Elementary","N","561"," ","561"
"2010-2011","10","Bedford County","1213","Thomas Jefferson Elementary","Y","56"," ","56"
"2010-2011","11","Bland County","232","Bland Elementary","N","245"," ","245"
"2010-2011","11","Bland County","232","Bland Elementary","Y","21"," ","21"
"2010-2011","11","Bland County","231","Bland High","N","160"," ","160"
"2010-2011","11","Bland County","231","Bland High","Y","28"," ","28"
"2010-2011","11","Bland County","62","Rocky Gap Elementary","N","205"," ","205"
"2010-2011","11","Bland County","62","Rocky Gap Elementary","Y","39"," ","39"
"2010-2011","11","Bland County","61","Rocky Gap High","N","169"," ","169"
"2010-2011","11","Bland County","61","Rocky Gap High","Y","30"," ","30"
"2010-2011","12","Botetourt County","220","Breckinridge Elementary","N","201","<","202"
"2010-2011","12","Botetourt County","220","Breckinridge Elementary","Y","47"," ","47"
"2010-2011","12","Botetourt County","20","Buchanan Elementary","N","243"," ","243"
"2010-2011","12","Botetourt County","20","Buchanan Elementary","Y","77"," ","77"
"2010-2011","12","Botetourt County","420","Central Academy Middle","N","383"," ","383"
"2010-2011","12","Botetourt County","420","Central Academy Middle","Y","81"," ","81"
"2010-2011","12","Botetourt County","390","Cloverdale Elementary","N","276"," ","276"
"2010-2011","12","Botetourt County","390","Cloverdale Elementary","Y","43"," ","43"
"2010-2011","12","Botetourt County","400","Colonial Elementary","N","392"," ","392"
"2010-2011","12","Botetourt County","400","Colonial Elementary","Y","74"," ","74"
"2010-2011","12","Botetourt County","30","Eagle Rock Elementary","N","132"," ","132"
"2010-2011","12","Botetourt County","30","Eagle Rock Elementary","Y","26"," ","26"
"2010-2011","12","Botetourt County","460","Greenfield Elementary","N","357"," ","357"
"2010-2011","12","Botetourt County","460","Greenfield Elementary","Y","62"," ","62"
"2010-2011","12","Botetourt County","430","James River High","N","417"," ","417"
"2010-2011","12","Botetourt County","430","James River High","Y","67"," ","67"
"2010-2011","12","Botetourt County","440","Lord Botetourt High","N","961"," ","961"
"2010-2011","12","Botetourt County","440","Lord Botetourt High","Y","138"," ","138"
"2010-2011","12","Botetourt County","450","Read Mountain Middle","N","591"," ","591"
"2010-2011","12","Botetourt County","450","Read Mountain Middle","Y","124"," ","124"
"2010-2011","12","Botetourt County","40","Troutville Elementary","N","258"," ","258"
"2010-2011","12","Botetourt County","40","Troutville Elementary","Y","59"," ","59"
"2010-2011","102","Bristol City","60","Highland View Elementary","N","179"," ","179"
"2010-2011","102","Bristol City","60","Highland View Elementary","Y","35"," ","35"
"2010-2011","102","Bristol City","100","Joseph Van Pelt Elementary","N","351"," ","351"
"2010-2011","102","Bristol City","100","Joseph Van Pelt Elementary","Y","62"," ","62"
"2010-2011","102","Bristol City","70","Stonewall Jackson Elementary","N","258"," ","258"
"2010-2011","102","Bristol City","70","Stonewall Jackson Elementary","Y","28"," ","28"
"2010-2011","102","Bristol City","80","Virginia High","N","560"," ","560"
"2010-2011","102","Bristol City","80","Virginia High","Y","110"," ","110"
"2010-2011","102","Bristol City","10","Virginia Middle","N","468"," ","468"
"2010-2011","102","Bristol City","10","Virginia Middle","Y","82"," ","82"
"2010-2011","102","Bristol City","90","Washington-Lee Elementary","N","213"," ","213"
"2010-2011","102","Bristol City","90","Washington-Lee Elementary","Y","51"," ","51"
"2010-2011","13","Brunswick County","650","Brunswick High","N","551"," ","551"
"2010-2011","13","Brunswick County","650","Brunswick High","Y","85"," ","85"
"2010-2011","13","Brunswick County","660","James S. Russell Middle","N","418"," ","418"
"2010-2011","13","Brunswick County","660","James S. Russell Middle","Y","57"," ","57"
"2010-2011","13","Brunswick County","690","Meherrin Powellton Elementary","N","257"," ","257"
"2010-2011","13","Brunswick County","690","Meherrin Powellton Elementary","Y","30"," ","30"
"2010-2011","13","Brunswick County","700","Red Oak-Sturgeon Elementary","N","206"," ","206"
"2010-2011","13","Brunswick County","700","Red Oak-Sturgeon Elementary","Y","12"," ","12"
"2010-2011","13","Brunswick County","720","Totaro Elementary","N","458"," ","458"
