"School Year","Division Number","Division Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2021-2022","43","Henrico County","N","1,082","2,958","3,045","3,170","3,091","3,058","3,094","3,221","3,339","3,528","4,002","3,866","3,683","3,622","44,759"," ","44,759"
"2021-2022","43","Henrico County","Y"," ","508","411","450","475","500","503","495","459","406","402","249","212","162","5,232"," ","5,232"
"2021-2022","44","Henry County","N","262","432","396","462","444","465","442","420","542","521","717","490","426","465","6,484"," ","6,484"
"2021-2022","44","Henry County","Y"," ","41","41","35","60","56","64","66","56","42","39","11","16","14","541"," ","541"
"2021-2022","45","Highland County","N","<","16","11","15","17","10","17","11","<","18","13","<","13","17","177"," ","177"
"2021-2022","45","Highland County","Y"," "," "," "," "," "," "," "," "," "," "," "," "," ","<","<"," ","<"
"2021-2022","114","Hopewell City","N","301","280","276","295","275","263","263","255","279","279","304","298","255","253","3,876","<","3,878"
"2021-2022","114","Hopewell City","Y"," ","<","12","12","24","19","24","15","18","<","13","18","15","11","199"," ","199"
"2021-2022","46","Isle of Wight County","N","101","386","353","393","402","387","389","404","421","440","540","442","457","432","5,547"," ","5,547"
"2021-2022","46","Isle of Wight County","Y","<","<","<","<","<","<","<","<","<","<","<","<","<","<","72"," ","72"
"2021-2022","48","King George County","N","78","296","313","316","302","320","331","289","334","378","409","325","326","370","4,387","<","4,388"
"2021-2022","48","King George County","Y"," ","<","<","<","<","13","<","<","<","<","<","<","<","<","80"," ","80"
"2021-2022","50","King William County","N","<","114","144","133","144","134","140","156","134","175","186","149","172","166","1,956","<","1,957"
"2021-2022","50","King William County","Y"," ","<","<","<","<","<","<","<","<"," ","<","<","<"," ","27"," ","27"
"2021-2022","49","King and Queen County","N","48","146","114","109","44","51","36","45","40","52","54","36","36","37","848"," ","848"
"2021-2022","49","King and Queen County","Y"," "," "," "," "," ","<","<","<","<","<","<","<","<","<","19"," ","19"
"2021-2022","51","Lancaster County","N","56","59","67","54","55","73","72","77","65","65","99","72","97","85","996"," ","996"
"2021-2022","51","Lancaster County","Y"," "," ","<","<"," "," "," ","<"," ","<"," "," "," ","<","<"," ","<"
"2021-2022","52","Lee County","N","123","229","222","192","195","213","227","213","239","222","273","199","195","190","2,932"," ","2,932"
"2021-2022","52","Lee County","Y"," "," "," "," ","<","<","<"," "," ","<"," ","<"," "," ","<"," ","<"
"2021-2022","137","Lexington City","N","<","50","37","46","55","56","59","44","49","47"," "," "," ","<","447"," ","447"
"2021-2022","137","Lexington City","Y"," ","<","<","<","<","<","<"," ","<","<"," "," "," "," ","29"," ","29"
"2021-2022","53","Loudoun County","N","526","3,724","4,017","3,955","3,946","4,545","4,746","4,873","5,145","5,749","6,180","6,161","6,022","6,318","65,907","325","66,232"
"2021-2022","53","Loudoun County","Y","<","1,481","1,495","1,768","1,726","1,511","1,335","1,331","1,303","1,047","750","542","582","407","15,279"," ","15,279"
"2021-2022","54","Louisa County","N","148","350","334","330","337","373","333","365","376","408","420","410","392","389","4,965"," ","4,965"
"2021-2022","54","Louisa County","Y"," ","14","18","19","25","12","21","19","22","22","12","12","<","<","203"," ","203"
"2021-2022","55","Lunenburg County","N","81","101","103","89","89","92","99","93","119","117","124","130","95","110","1,442"," ","1,442"
"2021-2022","55","Lunenburg County","Y"," ","23","18","14","16","13","13","12","14","<","18","<","<","<","165"," ","165"
"2021-2022","115","Lynchburg City","N","271","542","541","580","542","536","551","519","551","568","739","559","546","530","7,575","49","7,624"
"2021-2022","115","Lynchburg City","Y"," ","24","22","27","18","29","21","23","26","14","16","<","10","17","255"," ","255"
"2021-2022","56","Madison County","N"," ","103","113","99","99","107","126","130","117","133","158","155","117","120","1,577","45","1,622"
"2021-2022","56","Madison County","Y"," ","<","<","<","<","<","<","<"," ","<","<","<","<","<","42"," ","42"
"2021-2022","143","Manassas City","N","55","179","260","256","262","235","199","204","190","239","428","409","377","349","3,642","315","3,957"
"2021-2022","143","Manassas City","Y"," ","202","313","302","298","338","323","350","377","309","291","165","126","123","3,517","118","3,635"
"2021-2022","144","Manassas Park City","N","131","85","88","86","80","103","86","97","132","128","196","197","208","205","1,822"," ","1,822"
"2021-2022","144","Manassas Park City","Y"," ","141","167","142","155","156","157","146","149","157","98","76","72","70","1,686"," ","1,686"
"2021-2022","116","Martinsville City","N","97","114","119","106","102","112","120","122","117","119","146","139","119","114","1,646"," ","1,646"
"2021-2022","116","Martinsville City","Y"," ","11","17","12","14","19","16","12","19","13","13","10","<","<","171"," ","171"
"2021-2022","57","Mathews County","N","22","58","60","53","63","55","64","64","74","81","87","76","68","61","886"," ","886"
"2021-2022","57","Mathews County","Y"," ","<"," "," ","<","<","<","<","<","<"," "," ","<"," ","17"," ","17"
"2021-2022","58","Mecklenburg County","N","213","272","281","264","290","242","282","265","298","273","595","356","407","287","4,325","<","4,327"
"2021-2022","58","Mecklenburg County","Y"," ","<","<","11","10","<","<","11","10","10","14","12","<","<","113"," ","113"
"2021-2022","59","Middlesex County","N","79","90","86","80","72","87","83","88","93","86","105","77","76","74","1,176"," ","1,176"
"2021-2022","59","Middlesex County","Y"," "," ","<","<","<","<","<","<","<","<","<","<","<"," ","26"," ","26"
"2021-2022","60","Montgomery County","N","202","622","646","608","652","686","666","704","678","719","850","721","756","665","9,175","<","9,181"
"2021-2022","60","Montgomery County","Y"," ","48","55","58","49","57","49","43","43","31","30","19","22","19","523"," ","523"
"2021-2022","62","Nelson County","N","41","76","86","96","76","114","104","106","111","118","166","138","100","132","1,464"," ","1,464"
"2021-2022","62","Nelson County","Y"," ","<","<","<","<","<","<","11","<","<","<","<","<","<","74"," ","74"
"2021-2022","63","New Kent County","N","51","253","212","206","212","241","239","228","258","266","306","284","236","247","3,239"," ","3,239"
"2021-2022","63","New Kent County","Y","<"," ","<"," ","<","<","<","<","<","<","<"," ","<","<","34"," ","34"
"2021-2022","117","Newport News City","N","1,009","1,848","1,754","1,859","1,829","1,784","1,839","1,826","1,782","1,871","2,277","1,800","1,651","1,541","24,670","<","24,675"
"2021-2022","117","Newport News City","Y","<","123","179","167","190","190","178","199","181","146","196","96","106","50","2,002"," ","2,002"
"2021-2022","118","Norfolk City","N","1,528","2,072","1,983","1,980","1,952","1,950","1,934","1,879","1,922","1,843","2,348","1,815","1,412","1,474","26,092"," ","26,092"
"2021-2022","118","Norfolk City","Y","<","105","152","109","116","101","120","120","125","121","167","83","34","32","1,386"," ","1,386"
"2021-2022","65","Northampton County","N","63","76","73","78","81","73","96","87","65","97","87","106","88","102","1,172"," ","1,172"
"2021-2022","65","Northampton County","Y"," ","<","16","12","18","10","26","14","21","11","15","<","12","<","178"," ","178"
"2021-2022","66","Northumberland County","N","50","65","79","71","90","77","88","91","80","94","85","92","92","88","1,142"," ","1,142"
"2021-2022","66","Northumberland County","Y"," ","<","<","<","<","<","<","<","<","<","<"," ","<"," ","39"," ","39"
"2021-2022","119","Norton City","N","24","67","49","75","56","61","50","60","59","68","65","52","61","74","821"," ","821"
"2021-2022","119","Norton City","Y"," ","<"," "," ","<"," "," "," ","<"," "," ","<","<"," ","<"," ","<"
"2021-2022","67","Nottoway County","N","83","123","115","129","134","126","115","107","141","113","174","136","119","112","1,727"," ","1,727"
"2021-2022","67","Nottoway County","Y"," ","<","<","<","10","<","<","10","13","<","<","<","<","<","97"," ","97"
"2021-2022","68","Orange County","N","198","311","331","328","332","337","374","349","354","363","465","352","298","363","4,755","<","4,756"
"2021-2022","68","Orange County","Y","<","16","23","23","32","23","30","29","22","30","11","10","<","13","272"," ","272"
"2021-2022","69","Page County","N","98","200","201","217","209","213","196","207","251","253","220","275","271","276","3,087"," ","3,087"
"2021-2022","69","Page County","Y","<","<","<","<","<","<","<","<","<","<","<","<","<","<","49"," ","49"
"2021-2022","70","Patrick County","N","128","228","319","214","135","148","162","155","143","173","174","183","162","153","2,477"," ","2,477"
"2021-2022","70","Patrick County","Y"," ","<","<","<","<","<","<","<","<","<","<","<","<","<","61"," ","61"
"2021-2022","120","Petersburg City","N","323","292","330","322","290","285","308","291","305","266","326","223","248","180","3,989"," ","3,989"
"2021-2022","120","Petersburg City","Y","<","17","<","17","19","16","10","19","24","12","23","11","<","<","190"," ","190"
"2021-2022","71","Pittsylvania County","N","283","505","440","467","505","514","547","544","623","669","713","640","614","624","7,688"," ","7,688"
"2021-2022","71","Pittsylvania County","Y"," ","15","31","20","23","26","21","19","16","14","11","14","<","<","227"," ","227"
"2021-2022","142","Poquoson City","N"," ","144","158","132","136","166","149","138","159","172","201","165","169","158","2,047","32","2,079"
"2021-2022","142","Poquoson City","Y"," "," "," "," "," "," ","<","<","<"," ","<","<"," ","<","<"," ","<"
"2021-2022","121","Portsmouth City","N","552","1,021","979","1,004","1,040","998","1,040","1,030","960","980","1,147","920","816","842","13,329"," ","13,329"
"2021-2022","121","Portsmouth City","Y"," ","17","13","19","15","18","20","<","19","13","11","<","11","14","188"," ","188"
"2021-2022","72","Powhatan County","N","105","266","273","303","292","293","318","320","307","344","372","378","335","355","4,261","10","4,271"
"2021-2022","72","Powhatan County","Y"," ","<","<","<","<","<","<","<","<","<","<","<","<"," ","34"," ","34"
"2021-2022","73","Prince Edward County","N","95","129","130","148","113","138","131","138","126","147","207","153","80","130","1,865","<","1,868"
"2021-2022","73","Prince Edward County","Y"," "," ","<","<","<","<","<","<","<","<","<","<","<","<","49"," ","49"
"2021-2022","74","Prince George County","N","139","457","463","446","466","464","444","444","440","498","468","499","368","427","6,023","<","6,025"
"2021-2022","74","Prince George County","Y"," ","<","<","11","13","10","11","11","16","<","<","<","<","<","116"," ","116"
"2021-2022","75","Prince William County","N","1,622","4,199","4,181","4,265","4,327","4,398","4,468","4,541","4,892","5,030","6,497","6,379","5,757","6,143","66,699","19","66,718"
"2021-2022","75","Prince William County","Y"," ","1,920","2,037","2,136","2,287","2,303","2,169","2,193","2,083","1,928","1,597","970","942","852","23,417"," ","23,417"
"2021-2022","77","Pulaski County","N","151","302","263","294","316","287","256","285","290","319","323","283","308","291","3,968"," ","3,968"
"2021-2022","77","Pulaski County","Y"," ","<","<","<","12","<","<","<","<","<","<","<","<","<","73"," ","73"
"2021-2022","122","Radford City","N","58","93","105","125","237","254","244","225","254","266","157","188","208","267","2,681"," ","2,681"
"2021-2022","122","Radford City","Y"," "," "," "," ","<","<","<","<","<"," ","<","<","<","<","20"," ","20"
"2021-2022","78","Rappahannock County","N","35","41","48","51","41","43","56","60","45","67","46","53","49","71","706"," ","706"
"2021-2022","78","Rappahannock County","Y"," "," ","<","<","<","<","<","<","<","<","<","<","<","<","47"," ","47"
"2021-2022","123","Richmond City","N","981","1,420","1,432","1,365","1,392","1,396","1,256","1,216","1,156","1,277","1,445","1,075","1,157","1,079","17,647","<","17,648"
"2021-2022","123","Richmond City","Y"," ","220","287","306","310","352","351","322","316","267","250","197","220","132","3,530","<","3,531"
"2021-2022","79","Richmond County","N","46","80","81","81","85","86","95","89","89","109","116","93","92","100","1,242"," ","1,242"
