"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2012-2013","131","Williamsburg-James City County","11,024"," ","11,024"
"2012-2013","132","Winchester City","4,230"," ","4,230"
"2012-2013","96","Wise County","6,110"," ","6,110"
"2012-2013","97","Wythe County","4,376","2","4,378"
"2012-2013","98","York County","12,421"," ","12,421"
"2013-2014","1","Accomack County","5,247"," ","5,247"
"2013-2014","2","Albemarle County","13,420","12","13,432"
"2013-2014","101","Alexandria City","13,622","101","13,723"
"2013-2014","3","Alleghany County","2,474"," ","2,474"
"2013-2014","4","Amelia County","1,793"," ","1,793"
"2013-2014","5","Amherst County","4,291"," ","4,291"
"2013-2014","6","Appomattox County","2,345"," ","2,345"
"2013-2014","7","Arlington County","23,499","1","23,500"
"2013-2014","8","Augusta County","10,667","2","10,669"
"2013-2014","9","Bath County","636"," ","636"
"2013-2014","10","Bedford County","10,302","2","10,304"
"2013-2014","11","Bland County","858"," ","858"
"2013-2014","12","Botetourt County","4,856"," ","4,856"
"2013-2014","102","Bristol City","2,329"," ","2,329"
"2013-2014","13","Brunswick County","1,921"," ","1,921"
"2013-2014","14","Buchanan County","3,201"," ","3,201"
"2013-2014","15","Buckingham County","2,160"," ","2,160"
"2013-2014","103","Buena Vista City","1,069"," ","1,069"
"2013-2014","16","Campbell County","8,338"," ","8,338"
"2013-2014","17","Caroline County","4,386"," ","4,386"
"2013-2014","18","Carroll County","4,016"," ","4,016"
"2013-2014","19","Charles City County","737"," ","737"
"2013-2014","20","Charlotte County","2,004"," ","2,004"
"2013-2014","104","Charlottesville City","4,340"," ","4,340"
"2013-2014","136","Chesapeake City","39,737","13","39,750"
"2013-2014","21","Chesterfield County","59,186","28","59,214"
"2013-2014","22","Clarke County","2,006","13","2,019"
"2013-2014","202","Colonial Beach","592"," ","592"
"2013-2014","106","Colonial Heights City","2,812"," ","2,812"
"2013-2014","107","Covington City","979"," ","979"
"2013-2014","23","Craig County","700"," ","700"
"2013-2014","24","Culpeper County","8,080","3","8,083"
"2013-2014","25","Cumberland County","1,435","1","1,436"
"2013-2014","108","Danville City","6,314"," ","6,314"
"2013-2014","26","Dickenson County","2,344"," ","2,344"
"2013-2014","27","Dinwiddie County","4,418"," ","4,418"
"2013-2014","28","Essex County","1,553"," ","1,553"
"2013-2014","29","Fairfax County","183,417","16","183,433"
"2013-2014","109","Falls Church City","2,426"," ","2,426"
"2013-2014","30","Fauquier County","11,145"," ","11,145"
"2013-2014","31","Floyd County","2,095"," ","2,095"
"2013-2014","32","Fluvanna County","3,689","1","3,690"
"2013-2014","135","Franklin City","1,266"," ","1,266"
"2013-2014","33","Franklin County","7,400"," ","7,400"
"2013-2014","34","Frederick County","13,144"," ","13,144"
"2013-2014","110","Fredericksburg City","3,457"," ","3,457"
"2013-2014","111","Galax City","1,338"," ","1,338"
"2013-2014","35","Giles County","2,455"," ","2,455"
"2013-2014","36","Gloucester County","5,639"," ","5,639"
"2013-2014","37","Goochland County","2,451"," ","2,451"
"2013-2014","38","Grayson County","1,812"," ","1,812"
"2013-2014","39","Greene County","3,099","2","3,101"
"2013-2014","40","Greensville County","2,591"," ","2,591"
"2013-2014","41","Halifax County","5,576","3","5,579"
"2013-2014","112","Hampton City","21,157"," ","21,157"
"2013-2014","42","Hanover County","18,264"," ","18,264"
"2013-2014","113","Harrisonburg City","5,390","2","5,392"
"2013-2014","43","Henrico County","50,569"," ","50,569"
"2013-2014","44","Henry County","7,387"," ","7,387"
"2013-2014","45","Highland County","209"," ","209"
"2013-2014","114","Hopewell City","4,330"," ","4,330"
"2013-2014","46","Isle of Wight County","5,507"," ","5,507"
"2013-2014","48","King George County","4,326"," ","4,326"
"2013-2014","50","King William County","2,246"," ","2,246"
"2013-2014","49","King and Queen County","824"," ","824"
"2013-2014","51","Lancaster County","1,257"," ","1,257"
"2013-2014","52","Lee County","3,401"," ","3,401"
"2013-2014","137","Lexington City","519"," ","519"
"2013-2014","53","Loudoun County","70,759","47","70,806"
"2013-2014","54","Louisa County","4,794"," ","4,794"
"2013-2014","55","Lunenburg County","1,574"," ","1,574"
"2013-2014","115","Lynchburg City","8,583"," ","8,583"
"2013-2014","56","Madison County","1,879"," ","1,879"
"2013-2014","143","Manassas City","7,242"," ","7,242"
"2013-2014","144","Manassas Park City","3,216"," ","3,216"
"2013-2014","116","Martinsville City","2,259"," ","2,259"
"2013-2014","57","Mathews County","1,158"," ","1,158"
"2013-2014","58","Mecklenburg County","4,634"," ","4,634"
"2013-2014","59","Middlesex County","1,219","2","1,221"
"2013-2014","60","Montgomery County","9,723"," ","9,723"
"2013-2014","62","Nelson County","1,971","1","1,972"
"2013-2014","63","New Kent County","2,977"," ","2,977"
"2013-2014","117","Newport News City","29,777"," ","29,777"
"2013-2014","118","Norfolk City","32,597"," ","32,597"
"2013-2014","65","Northampton County","1,685"," ","1,685"
"2013-2014","66","Northumberland County","1,429"," ","1,429"
"2013-2014","119","Norton City","841"," ","841"
"2013-2014","67","Nottoway County","2,329"," ","2,329"
"2013-2014","68","Orange County","5,181","2","5,183"
"2013-2014","69","Page County","3,541"," ","3,541"
"2013-2014","70","Patrick County","2,772"," ","2,772"
"2013-2014","120","Petersburg City","4,466"," ","4,466"
"2013-2014","71","Pittsylvania County","9,293"," ","9,293"
"2013-2014","142","Poquoson City","2,123","19","2,142"
"2013-2014","121","Portsmouth City","14,970"," ","14,970"
"2013-2014","72","Powhatan County","4,261","3","4,264"
"2013-2014","73","Prince Edward County","2,282"," ","2,282"
"2013-2014","74","Prince George County","6,385"," ","6,385"
"2013-2014","75","Prince William County","85,451","24","85,475"
"2013-2014","77","Pulaski County","4,470"," ","4,470"
"2013-2014","122","Radford City","1,612"," ","1,612"
"2013-2014","78","Rappahannock County","908"," ","908"
"2013-2014","123","Richmond City","23,775"," ","23,775"
"2013-2014","79","Richmond County","1,233"," ","1,233"
"2013-2014","124","Roanoke City","13,534"," ","13,534"
"2013-2014","80","Roanoke County","14,333"," ","14,333"
"2013-2014","81","Rockbridge County","2,840","1","2,841"
"2013-2014","82","Rockingham County","11,883","9","11,892"
"2013-2014","83","Russell County","4,183"," ","4,183"
"2013-2014","139","Salem City","3,839"," ","3,839"
"2013-2014","84","Scott County","3,815"," ","3,815"
"2013-2014","85","Shenandoah County","6,202"," ","6,202"
"2013-2014","86","Smyth County","4,787"," ","4,787"
"2013-2014","87","Southampton County","2,863"," ","2,863"
"2013-2014","88","Spotsylvania County","23,838"," ","23,838"
"2013-2014","89","Stafford County","27,461"," ","27,461"
"2013-2014","126","Staunton City","2,712"," ","2,712"
"2013-2014","127","Suffolk City","14,476"," ","14,476"
